p1,p2,ptype,fid1,fid2,tags,set,nsamples
F0009/MID2,F0009/MID3,bb,F0009,F0009,8,0,420
F0009/MID2,F0009/MID6,bb,F0009,F0009,8,0,784
F0009/MID3,F0009/MID6,ss,F0009,F0009,8,0,420
F0009/MID3,F0009/MID4,bb,F0009,F0009,8,0,300
F0009/MID3,F0009/MID6,bb,F0009,F0009,8,0,420
F0009/MID3,F0009/MID4,ss,F0009,F0009,8,0,300
F0009/MID4,F0009/MID6,ss,F0009,F0009,8,0,560
F0009/MID4,F0009/MID6,bb,F0009,F0009,8,0,560
F0009/MID5,F0009/MID4,fs,F0009,F0009,8,0,260
F0009/MID5,F0009/MID3,fs,F0009,F0009,8,0,195
F0009/MID5,F0009/MID2,fs,F0009,F0009,8,0,364
F0009/MID5,F0009/MID1,fs,F0009,F0009,8,0,546
F0009/MID5,F0009/MID6,fs,F0009,F0009,8,0,364
F0009/MID7,F0009/MID6,ms,F0009,F0009,8,0,196
F0009/MID7,F0009/MID3,ms,F0009,F0009,8,0,105
F0009/MID7,F0009/MID2,ms,F0009,F0009,8,0,196
F0009/MID7,F0009/MID1,ms,F0009,F0009,8,0,294
F0009/MID7,F0009/MID4,ms,F0009,F0009,8,0,140
F0010/MID1,F0010/MID4,fd,F0010,F0010,9,0,48
F0010/MID1,F0010/MID3,fs,F0010,F0010,9,0,48
F0010/MID2,F0010/MID4,md,F0010,F0010,9,0,80
F0010/MID2,F0010/MID3,ms,F0010,F0010,9,0,80
F0010/MID3,F0010/MID4,sibs,F0010,F0010,9,0,64
F0010/MID3,F0010/MID4,bb,F0010,F0010,9,0,64
F0010/MID3,F0010/MID4,ss,F0010,F0010,9,0,64
F0011/MID1,F0011/MID2,fs,F0011,F0011,10,0,32
F0011/MID3,F0011/MID2,ms,F0011,F0011,10,0,56
F0012/MID1,F0012/MID4,fd,F0012,F0012,11,0,16
F0012/MID1,F0012/MID3,fd,F0012,F0012,11,0,16
F0012/MID2,F0012/MID3,md,F0012,F0012,11,0,14
F0012/MID2,F0012/MID4,md,F0012,F0012,11,0,14
F0012/MID3,F0012/MID4,bb,F0012,F0012,11,0,4
F0012/MID3,F0012/MID4,ss,F0012,F0012,11,0,4
F0013/MID1,F0013/MID8,ss,F0013,F0013,12,0,10
F0013/MID1,F0013/MID8,sibs,F0013,F0013,12,0,10
F0013/MID1,F0013/MID5,ss,F0013,F0013,12,0,10
F0013/MID1,F0013/MID9,fs,F0013,F0013,12,0,20
F0013/MID1,F0013/MID10,fs,F0013,F0013,12,0,20
F0013/MID1,F0013/MID6,ss,F0013,F0013,12,0,10
F0013/MID1,F0013/MID7,ss,F0013,F0013,12,0,10
F0013/MID1,F0013/MID6,bb,F0013,F0013,12,0,10
F0013/MID1,F0013/MID7,bb,F0013,F0013,12,0,10
F0013/MID1,F0013/MID11,fd,F0013,F0013,12,0,10
F0013/MID1,F0013/MID5,bb,F0013,F0013,12,0,10
F0013/MID1,F0013/MID8,bb,F0013,F0013,12,0,10
F0013/MID2,F0013/MID9,ms,F0013,F0013,12,0,14
F0013/MID2,F0013/MID10,ms,F0013,F0013,12,0,14
F0013/MID2,F0013/MID11,md,F0013,F0013,12,0,7
F0013/MID3,F0013/MID1,fs,F0013,F0013,12,0,20
F0013/MID3,F0013/MID5,fs,F0013,F0013,12,0,2
F0013/MID3,F0013/MID6,fs,F0013,F0013,12,0,2
F0013/MID3,F0013/MID7,fs,F0013,F0013,12,0,2
F0013/MID3,F0013/MID8,fd,F0013,F0013,12,0,2
F0013/MID4,F0013/MID5,ms,F0013,F0013,12,0,3
F0013/MID4,F0013/MID7,ms,F0013,F0013,12,0,3
F0013/MID4,F0013/MID1,ms,F0013,F0013,12,0,30
F0013/MID4,F0013/MID8,md,F0013,F0013,12,0,3
F0013/MID4,F0013/MID6,ms,F0013,F0013,12,0,3
F0013/MID5,F0013/MID8,bb,F0013,F0013,12,0,1
F0013/MID5,F0013/MID8,sibs,F0013,F0013,12,0,1
F0013/MID5,F0013/MID6,bb,F0013,F0013,12,0,1
F0013/MID5,F0013/MID6,ss,F0013,F0013,12,0,1
F0013/MID5,F0013/MID7,ss,F0013,F0013,12,0,1
F0013/MID5,F0013/MID8,ss,F0013,F0013,12,0,1
F0013/MID5,F0013/MID7,bb,F0013,F0013,12,0,1
F0013/MID6,F0013/MID8,sibs,F0013,F0013,12,0,1
F0013/MID6,F0013/MID8,ss,F0013,F0013,12,0,1
F0013/MID6,F0013/MID7,ss,F0013,F0013,12,0,1
F0013/MID6,F0013/MID8,bb,F0013,F0013,12,0,1
F0013/MID6,F0013/MID7,bb,F0013,F0013,12,0,1
F0013/MID7,F0013/MID8,sibs,F0013,F0013,12,0,1
F0013/MID7,F0013/MID8,ss,F0013,F0013,12,0,1
F0013/MID7,F0013/MID8,bb,F0013,F0013,12,0,1
F0013/MID8,F0013/MID11,ss,F0013,F0013,12,0,1
F0013/MID8,F0013/MID11,bb,F0013,F0013,12,0,1
F0013/MID9,F0013/MID11,bb,F0013,F0013,12,0,2
F0013/MID9,F0013/MID11,sibs,F0013,F0013,12,0,2
F0013/MID9,F0013/MID11,ss,F0013,F0013,12,0,2
F0013/MID9,F0013/MID10,bb,F0013,F0013,12,0,4
F0013/MID9,F0013/MID10,ss,F0013,F0013,12,0,4
F0015/MID1,F0015/MID2,md,F0015,F0015,13,0,289
F0015/MID1,F0015/MID5,sibs,F0015,F0015,13,0,17
F0015/MID1,F0015/MID5,ss,F0015,F0015,13,0,17
F0015/MID1,F0015/MID3,md,F0015,F0015,13,0,204
F0015/MID1,F0015/MID5,bb,F0015,F0015,13,0,17
F0015/MID2,F0015/MID3,bb,F0015,F0015,13,0,204
F0015/MID2,F0015/MID3,ss,F0015,F0015,13,0,204
F0015/MID4,F0015/MID2,fd,F0015,F0015,13,0,204
F0015/MID4,F0015/MID3,fd,F0015,F0015,13,0,144
F0016/MID1,F0016/MID2,bb,F0016,F0016,14,0,12
F0016/MID1,F0016/MID2,ss,F0016,F0016,14,0,12
F0016/MID1,F0016/MID5,fs,F0016,F0016,14,0,6
F0016/MID2,F0016/MID4,fd,F0016,F0016,14,0,4
F0016/MID2,F0016/MID3,fs,F0016,F0016,14,0,4
F0016/MID3,F0016/MID4,bb,F0016,F0016,14,0,1
F0016/MID3,F0016/MID4,sibs,F0016,F0016,14,0,1
F0016/MID3,F0016/MID4,ss,F0016,F0016,14,0,1
F0018/MID1,F0018/MID4,bb,F0018,F0018,16,0,90
F0018/MID1,F0018/MID4,ss,F0018,F0018,16,0,90
F0018/MID3,F0018/MID4,md,F0018,F0018,16,0,6
F0018/MID3,F0018/MID1,md,F0018,F0018,16,0,15
F0020/MID1,F0020/MID10,fd,F0020,F0020,17,0,9
F0020/MID1,F0020/MID6,fd,F0020,F0020,17,0,18
F0020/MID1,F0020/MID5,fd,F0020,F0020,17,0,18
F0020/MID1,F0020/MID3,fd,F0020,F0020,17,0,27
F0020/MID1,F0020/MID2,fd,F0020,F0020,17,0,18
F0020/MID11,F0020/MID3,md,F0020,F0020,17,0,3
F0020/MID11,F0020/MID6,md,F0020,F0020,17,0,2
F0020/MID11,F0020/MID10,md,F0020,F0020,17,0,1
F0020/MID2,F0020/MID6,bb,F0020,F0020,17,0,4
F0020/MID2,F0020/MID5,ss,F0020,F0020,17,0,4
F0020/MID2,F0020/MID10,ss,F0020,F0020,17,0,2
F0020/MID2,F0020/MID6,ss,F0020,F0020,17,0,4
F0020/MID2,F0020/MID3,ss,F0020,F0020,17,0,6
F0020/MID2,F0020/MID10,bb,F0020,F0020,17,0,2
F0020/MID2,F0020/MID3,bb,F0020,F0020,17,0,6
F0020/MID2,F0020/MID5,bb,F0020,F0020,17,0,4
F0020/MID3,F0020/MID6,bb,F0020,F0020,17,0,6
F0020/MID3,F0020/MID5,bb,F0020,F0020,17,0,6
F0020/MID3,F0020/MID10,bb,F0020,F0020,17,0,3
F0020/MID3,F0020/MID10,ss,F0020,F0020,17,0,3
F0020/MID3,F0020/MID6,ss,F0020,F0020,17,0,6
F0020/MID3,F0020/MID5,ss,F0020,F0020,17,0,6
F0020/MID5,F0020/MID6,ss,F0020,F0020,17,0,4
F0020/MID5,F0020/MID10,bb,F0020,F0020,17,0,2
F0020/MID5,F0020/MID6,bb,F0020,F0020,17,0,4
F0020/MID5,F0020/MID10,ss,F0020,F0020,17,0,2
F0020/MID6,F0020/MID10,bb,F0020,F0020,17,0,2
F0020/MID6,F0020/MID10,ss,F0020,F0020,17,0,2
F0020/MID9,F0020/MID5,md,F0020,F0020,17,0,2
F0020/MID9,F0020/MID2,md,F0020,F0020,17,0,2
F0021/MID1,F0021/MID3,fd,F0021,F0021,18,0,45
F0021/MID1,F0021/MID4,bb,F0021,F0021,18,0,27
F0021/MID1,F0021/MID4,ss,F0021,F0021,18,0,27
F0021/MID2,F0021/MID3,md,F0021,F0021,18,0,10
F0023/MID1,F0023/MID4,md,F0023,F0023,20,0,44
F0023/MID1,F0023/MID5,gfgs,F0023,F0023,20,0,11
F0023/MID2,F0023/MID4,gfgs,F0023,F0023,20,0,4
F0023/MID2,F0023/MID1,md,F0023,F0023,20,0,11
F0023/MID2,F0023/MID6,ss,F0023,F0023,20,0,5
F0023/MID2,F0023/MID6,bb,F0023,F0023,20,0,5
F0023/MID2,F0023/MID6,sibs,F0023,F0023,20,0,5
F0023/MID3,F0023/MID4,gmgs,F0023,F0023,20,0,4
F0023/MID3,F0023/MID5,gmgs,F0023,F0023,20,0,1
F0023/MID3,F0023/MID1,fd,F0023,F0023,20,0,11
F0023/MID4,F0023/MID5,md,F0023,F0023,20,0,4
F0024/MID2,F0024/MID1,md,F0024,F0024,21,0,32
F0024/MID3,F0024/MID5,fs,F0024,F0024,21,0,10
F0024/MID3,F0024/MID1,fd,F0024,F0024,21,0,40
F0024/MID4,F0024/MID5,ms,F0024,F0024,21,0,2
F0029/MID1,F0029/MID7,fd,F0029,F0029,24,0,8
F0029/MID1,F0029/MID3,fd,F0029,F0029,24,0,16
F0029/MID1,F0029/MID5,fd,F0029,F0029,24,0,8
F0029/MID1,F0029/MID4,fs,F0029,F0029,24,0,12
F0029/MID1,F0029/MID6,fd,F0029,F0029,24,0,8
F0029/MID2,F0029/MID3,md,F0029,F0029,24,0,48
F0029/MID2,F0029/MID6,md,F0029,F0029,24,0,24
F0029/MID2,F0029/MID4,ms,F0029,F0029,24,0,36
F0029/MID2,F0029/MID7,md,F0029,F0029,24,0,24
F0029/MID2,F0029/MID5,md,F0029,F0029,24,0,24
F0029/MID3,F0029/MID6,bb,F0029,F0029,24,0,32
F0029/MID3,F0029/MID4,sibs,F0029,F0029,24,0,48
F0029/MID3,F0029/MID5,ss,F0029,F0029,24,0,32
F0029/MID3,F0029/MID5,bb,F0029,F0029,24,0,32
F0029/MID3,F0029/MID7,bb,F0029,F0029,24,0,32
F0029/MID3,F0029/MID4,bb,F0029,F0029,24,0,48
F0029/MID3,F0029/MID4,ss,F0029,F0029,24,0,48
F0029/MID3,F0029/MID7,ss,F0029,F0029,24,0,32
F0029/MID3,F0029/MID6,ss,F0029,F0029,24,0,32
F0029/MID4,F0029/MID7,ss,F0029,F0029,24,0,24
F0029/MID4,F0029/MID5,ss,F0029,F0029,24,0,24
F0029/MID4,F0029/MID6,sibs,F0029,F0029,24,0,24
F0029/MID4,F0029/MID6,ss,F0029,F0029,24,0,24
F0029/MID4,F0029/MID5,bb,F0029,F0029,24,0,24
F0029/MID4,F0029/MID7,sibs,F0029,F0029,24,0,24
F0029/MID4,F0029/MID5,sibs,F0029,F0029,24,0,24
F0029/MID4,F0029/MID6,bb,F0029,F0029,24,0,24
F0029/MID4,F0029/MID7,bb,F0029,F0029,24,0,24
F0029/MID5,F0029/MID7,bb,F0029,F0029,24,0,16
F0029/MID5,F0029/MID7,ss,F0029,F0029,24,0,16
F0029/MID6,F0029/MID7,ss,F0029,F0029,24,0,16
F0029/MID6,F0029/MID7,bb,F0029,F0029,24,0,16
F0031/MID1,F0031/MID5,sibs,F0031,F0031,26,0,42
F0031/MID1,F0031/MID5,ss,F0031,F0031,26,0,42
F0031/MID1,F0031/MID3,ss,F0031,F0031,26,0,49
F0031/MID1,F0031/MID3,bb,F0031,F0031,26,0,49
F0031/MID1,F0031/MID5,bb,F0031,F0031,26,0,42
F0031/MID2,F0031/MID3,fd,F0031,F0031,26,0,35
F0031/MID2,F0031/MID1,fd,F0031,F0031,26,0,35
F0031/MID2,F0031/MID5,fs,F0031,F0031,26,0,30
F0031/MID3,F0031/MID5,sibs,F0031,F0031,26,0,42
F0031/MID3,F0031/MID5,ss,F0031,F0031,26,0,42
F0031/MID3,F0031/MID5,bb,F0031,F0031,26,0,42
F0031/MID4,F0031/MID3,md,F0031,F0031,26,0,63
F0031/MID4,F0031/MID1,md,F0031,F0031,26,0,63
F0031/MID4,F0031/MID5,ms,F0031,F0031,26,0,54
F0032/MID1,F0032/MID2,sibs,F0032,F0032,27,0,140
F0032/MID1,F0032/MID2,bb,F0032,F0032,27,0,140
F0032/MID1,F0032/MID2,ss,F0032,F0032,27,0,140
F0032/MID3,F0032/MID1,md,F0032,F0032,27,0,28
F0032/MID3,F0032/MID2,ms,F0032,F0032,27,0,20
F0032/MID4,F0032/MID2,fs,F0032,F0032,27,0,30
F0032/MID4,F0032/MID1,fd,F0032,F0032,27,0,42
F0033/MID1,F0033/MID5,fd,F0033,F0033,28,0,21
F0033/MID1,F0033/MID3,fd,F0033,F0033,28,0,28
F0033/MID1,F0033/MID4,fs,F0033,F0033,28,0,28
F0033/MID2,F0033/MID5,md,F0033,F0033,28,0,12
F0033/MID2,F0033/MID4,ms,F0033,F0033,28,0,16
F0033/MID2,F0033/MID3,md,F0033,F0033,28,0,16
F0033/MID3,F0033/MID5,ss,F0033,F0033,28,0,12
F0033/MID3,F0033/MID5,bb,F0033,F0033,28,0,12
F0033/MID3,F0033/MID4,bb,F0033,F0033,28,0,16
F0033/MID3,F0033/MID4,sibs,F0033,F0033,28,0,16
F0033/MID3,F0033/MID4,ss,F0033,F0033,28,0,16
F0033/MID4,F0033/MID5,ss,F0033,F0033,28,0,12
F0033/MID4,F0033/MID5,sibs,F0033,F0033,28,0,12
F0033/MID4,F0033/MID5,bb,F0033,F0033,28,0,12
F0033/MID6,F0033/MID1,ms,F0033,F0033,28,0,7
F0035/MID1,F0035/MID2,fs,F0035,F0035,30,0,54
F0035/MID1,F0035/MID4,fs,F0035,F0035,30,0,9
F0035/MID1,F0035/MID3,fs,F0035,F0035,30,0,45
F0035/MID2,F0035/MID3,ss,F0035,F0035,30,0,30
F0035/MID2,F0035/MID3,bb,F0035,F0035,30,0,30
F0036/MID1,F0036/MID4,bb,F0036,F0036,31,0,16
F0036/MID1,F0036/MID3,bb,F0036,F0036,31,0,48
F0036/MID1,F0036/MID7,ss,F0036,F0036,31,0,16
F0036/MID1,F0036/MID4,ss,F0036,F0036,31,0,16
F0036/MID1,F0036/MID3,sibs,F0036,F0036,31,0,48
F0036/MID1,F0036/MID3,ss,F0036,F0036,31,0,48
F0036/MID1,F0036/MID7,bb,F0036,F0036,31,0,16
F0036/MID2,F0036/MID5,bb,F0036,F0036,31,0,6
F0036/MID2,F0036/MID5,ss,F0036,F0036,31,0,6
F0036/MID3,F0036/MID7,sibs,F0036,F0036,31,0,12
F0036/MID3,F0036/MID7,ss,F0036,F0036,31,0,12
F0036/MID3,F0036/MID7,bb,F0036,F0036,31,0,12
F0036/MID6,F0036/MID1,ms,F0036,F0036,31,0,16
F0036/MID6,F0036/MID7,ms,F0036,F0036,31,0,4
F0036/MID7,F0036/MID5,fd,F0036,F0036,31,0,4
F0036/MID7,F0036/MID2,fd,F0036,F0036,31,0,6
F0038/MID1,F0038/MID2,fd,F0038,F0038,33,0,96
F0038/MID1,F0038/MID4,fs,F0038,F0038,33,0,48
F0038/MID1,F0038/MID6,fs,F0038,F0038,33,0,12
F0038/MID1,F0038/MID5,fs,F0038,F0038,33,0,12
F0038/MID2,F0038/MID4,sibs,F0038,F0038,33,0,32
F0038/MID2,F0038/MID4,bb,F0038,F0038,33,0,32
F0038/MID2,F0038/MID4,ss,F0038,F0038,33,0,32
F0038/MID3,F0038/MID6,ms,F0038,F0038,33,0,3
F0038/MID3,F0038/MID5,ms,F0038,F0038,33,0,3
F0038/MID5,F0038/MID6,ss,F0038,F0038,33,0,1
F0038/MID5,F0038/MID6,bb,F0038,F0038,33,0,1
F0039/MID1,F0039/MID3,ms,F0039,F0039,34,0,6
F0039/MID1,F0039/MID4,ms,F0039,F0039,34,0,18
F0039/MID2,F0039/MID4,fs,F0039,F0039,34,0,6
F0039/MID2,F0039/MID3,fs,F0039,F0039,34,0,2
F0039/MID3,F0039/MID4,bb,F0039,F0039,34,0,3
F0039/MID3,F0039/MID4,ss,F0039,F0039,34,0,3
F0042/MID1,F0042/MID4,ss,F0042,F0042,37,0,8
F0042/MID1,F0042/MID2,fs,F0042,F0042,37,0,48
F0042/MID1,F0042/MID4,sibs,F0042,F0042,37,0,8
F0042/MID1,F0042/MID4,bb,F0042,F0042,37,0,8
F0042/MID3,F0042/MID2,ms,F0042,F0042,37,0,6
F0042/MID5,F0042/MID1,fs,F0042,F0042,37,0,8
F0043/MID1,F0043/MID4,ms,F0043,F0043,38,0,45
F0043/MID1,F0043/MID2,md,F0043,F0043,38,0,54
F0043/MID1,F0043/MID3,md,F0043,F0043,38,0,54
F0043/MID2,F0043/MID3,bb,F0043,F0043,38,0,36
F0043/MID2,F0043/MID4,sibs,F0043,F0043,38,0,30
F0043/MID2,F0043/MID4,bb,F0043,F0043,38,0,30
F0043/MID2,F0043/MID3,ss,F0043,F0043,38,0,36
F0043/MID2,F0043/MID4,ss,F0043,F0043,38,0,30
F0043/MID3,F0043/MID4,bb,F0043,F0043,38,0,30
F0043/MID3,F0043/MID4,sibs,F0043,F0043,38,0,30
F0043/MID3,F0043/MID4,ss,F0043,F0043,38,0,30
F0045/MID1,F0045/MID3,fs,F0045,F0045,40,0,18
F0045/MID1,F0045/MID4,fs,F0045,F0045,40,0,30
F0045/MID2,F0045/MID4,ms,F0045,F0045,40,0,45
F0045/MID2,F0045/MID3,ms,F0045,F0045,40,0,27
F0045/MID3,F0045/MID4,bb,F0045,F0045,40,0,15
F0045/MID3,F0045/MID4,ss,F0045,F0045,40,0,15
F0046/MID1,F0046/MID3,fd,F0046,F0046,41,0,50
F0046/MID1,F0046/MID5,fs,F0046,F0046,41,0,50
F0046/MID1,F0046/MID4,fs,F0046,F0046,41,0,50
F0046/MID2,F0046/MID4,ms,F0046,F0046,41,0,45
F0046/MID2,F0046/MID5,ms,F0046,F0046,41,0,45
F0046/MID2,F0046/MID3,md,F0046,F0046,41,0,45
F0046/MID3,F0046/MID4,sibs,F0046,F0046,41,0,25
F0046/MID3,F0046/MID5,sibs,F0046,F0046,41,0,25
F0046/MID3,F0046/MID5,ss,F0046,F0046,41,0,25
F0046/MID3,F0046/MID4,ss,F0046,F0046,41,0,25
F0046/MID3,F0046/MID5,bb,F0046,F0046,41,0,25
F0046/MID3,F0046/MID4,bb,F0046,F0046,41,0,25
F0046/MID4,F0046/MID5,ss,F0046,F0046,41,0,25
F0046/MID4,F0046/MID5,bb,F0046,F0046,41,0,25
F0047/MID1,F0047/MID3,ms,F0047,F0047,42,0,55
F0047/MID1,F0047/MID2,ms,F0047,F0047,42,0,66
F0047/MID2,F0047/MID3,ss,F0047,F0047,42,0,30
F0047/MID2,F0047/MID3,bb,F0047,F0047,42,0,30
F0047/MID4,F0047/MID2,fs,F0047,F0047,42,0,42
F0047/MID4,F0047/MID3,fs,F0047,F0047,42,0,35
F0048/MID1,F0048/MID3,ss,F0048,F0048,43,0,24
F0048/MID1,F0048/MID10,bb,F0048,F0048,43,0,8
F0048/MID1,F0048/MID2,bb,F0048,F0048,43,0,32
F0048/MID1,F0048/MID8,fd,F0048,F0048,43,0,8
F0048/MID1,F0048/MID11,ss,F0048,F0048,43,0,8
F0048/MID1,F0048/MID7,fd,F0048,F0048,43,0,8
F0048/MID1,F0048/MID2,ss,F0048,F0048,43,0,32
F0048/MID1,F0048/MID11,bb,F0048,F0048,43,0,8
F0048/MID1,F0048/MID3,bb,F0048,F0048,43,0,24
F0048/MID1,F0048/MID10,sibs,F0048,F0048,43,0,8
F0048/MID1,F0048/MID4,bb,F0048,F0048,43,0,24
F0048/MID1,F0048/MID11,sibs,F0048,F0048,43,0,8
F0048/MID1,F0048/MID4,ss,F0048,F0048,43,0,24
F0048/MID1,F0048/MID10,ss,F0048,F0048,43,0,8
F0048/MID1,F0048/MID6,fs,F0048,F0048,43,0,16
F0048/MID10,F0048/MID11,bb,F0048,F0048,43,0,1
F0048/MID10,F0048/MID11,ss,F0048,F0048,43,0,1
F0048/MID2,F0048/MID4,bb,F0048,F0048,43,0,12
F0048/MID2,F0048/MID11,ss,F0048,F0048,43,0,4
F0048/MID2,F0048/MID10,ss,F0048,F0048,43,0,4
F0048/MID2,F0048/MID4,ss,F0048,F0048,43,0,12
F0048/MID2,F0048/MID10,bb,F0048,F0048,43,0,4
F0048/MID2,F0048/MID3,ss,F0048,F0048,43,0,12
F0048/MID2,F0048/MID11,sibs,F0048,F0048,43,0,4
F0048/MID2,F0048/MID10,sibs,F0048,F0048,43,0,4
F0048/MID2,F0048/MID11,bb,F0048,F0048,43,0,4
F0048/MID2,F0048/MID3,bb,F0048,F0048,43,0,12
F0048/MID3,F0048/MID10,sibs,F0048,F0048,43,0,3
F0048/MID3,F0048/MID11,sibs,F0048,F0048,43,0,3
F0048/MID3,F0048/MID11,bb,F0048,F0048,43,0,3
F0048/MID3,F0048/MID4,ss,F0048,F0048,43,0,9
F0048/MID3,F0048/MID10,bb,F0048,F0048,43,0,3
F0048/MID3,F0048/MID11,ss,F0048,F0048,43,0,3
F0048/MID3,F0048/MID4,bb,F0048,F0048,43,0,9
F0048/MID3,F0048/MID10,ss,F0048,F0048,43,0,3
F0048/MID4,F0048/MID10,sibs,F0048,F0048,43,0,3
F0048/MID4,F0048/MID11,sibs,F0048,F0048,43,0,3
F0048/MID4,F0048/MID10,bb,F0048,F0048,43,0,3
F0048/MID4,F0048/MID10,ss,F0048,F0048,43,0,3
F0048/MID4,F0048/MID11,bb,F0048,F0048,43,0,3
F0048/MID4,F0048/MID11,ss,F0048,F0048,43,0,3
F0048/MID5,F0048/MID8,md,F0048,F0048,43,0,3
F0048/MID5,F0048/MID6,ms,F0048,F0048,43,0,6
F0048/MID6,F0048/MID8,bb,F0048,F0048,43,0,2
F0048/MID6,F0048/MID8,ss,F0048,F0048,43,0,2
F0048/MID6,F0048/MID8,sibs,F0048,F0048,43,0,2
F0048/MID9,F0048/MID4,ms,F0048,F0048,43,0,3
F0048/MID9,F0048/MID2,ms,F0048,F0048,43,0,4
F0048/MID9,F0048/MID1,ms,F0048,F0048,43,0,8
F0048/MID9,F0048/MID10,md,F0048,F0048,43,0,1
F0048/MID9,F0048/MID3,ms,F0048,F0048,43,0,3
F0048/MID9,F0048/MID11,md,F0048,F0048,43,0,1
F0050/MID1,F0050/MID3,fd,F0050,F0050,45,0,15
F0050/MID2,F0050/MID3,md,F0050,F0050,45,0,15
F0051/MID1,F0051/MID3,fs,F0051,F0051,46,0,12
F0051/MID1,F0051/MID4,fs,F0051,F0051,46,0,48
F0051/MID2,F0051/MID4,ms,F0051,F0051,46,0,32
F0051/MID2,F0051/MID3,ms,F0051,F0051,46,0,8
F0051/MID3,F0051/MID4,bb,F0051,F0051,46,0,16
F0051/MID3,F0051/MID4,ss,F0051,F0051,46,0,16
F0051/MID5,F0051/MID3,gmgd,F0051,F0051,46,0,2
F0051/MID5,F0051/MID4,gmgd,F0051,F0051,46,0,8
F0051/MID5,F0051/MID1,fs,F0051,F0051,46,0,6
F0051/MID6,F0051/MID1,ms,F0051,F0051,46,0,6
F0051/MID6,F0051/MID4,gfgd,F0051,F0051,46,0,8
F0051/MID6,F0051/MID3,gfgd,F0051,F0051,46,0,2
F0052/MID1,F0052/MID3,md,F0052,F0052,47,0,45
F0052/MID1,F0052/MID4,md,F0052,F0052,47,0,54
F0052/MID2,F0052/MID4,fd,F0052,F0052,47,0,6
F0052/MID2,F0052/MID3,fd,F0052,F0052,47,0,5
F0052/MID3,F0052/MID4,ss,F0052,F0052,47,0,30
F0052/MID3,F0052/MID4,bb,F0052,F0052,47,0,30
F0054/MID1,F0054/MID4,fs,F0054,F0054,49,0,80
F0054/MID1,F0054/MID3,fs,F0054,F0054,49,0,80
F0054/MID2,F0054/MID3,ms,F0054,F0054,49,0,48
F0054/MID2,F0054/MID4,ms,F0054,F0054,49,0,48
F0054/MID3,F0054/MID4,bb,F0054,F0054,49,0,64
F0054/MID3,F0054/MID4,ss,F0054,F0054,49,0,64
F0058/MID1,F0058/MID5,md,F0058,F0058,51,0,38
F0058/MID1,F0058/MID4,md,F0058,F0058,51,0,114
F0058/MID2,F0058/MID4,gmgs,F0058,F0058,51,0,12
F0058/MID2,F0058/MID5,gmgs,F0058,F0058,51,0,4
F0058/MID2,F0058/MID1,fd,F0058,F0058,51,0,38
F0058/MID3,F0058/MID1,md,F0058,F0058,51,0,190
